"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
UEC,Uranium Energy Corp.,0.7724,79780385.75,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/uec
URG,Ur Energy Inc,0.5089,72933044.72,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urg
UUUU,Energy Fuels Inc,2.29,124634990.4,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
YUMA,"Yuma Energy, Inc.",0.21,15101385.81,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/yuma
"CAFD","8point3 Energy Partners LP","14.51","1030315647.31","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"AXAS","Abraxas Petroleum Corporation","0.95","101028700.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AEIS","Advanced Energy Industries, Inc.","35.01","1395181129.32","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AHGP","Alliance Holdings GP, L.P.","13.8","826109400","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","11.23","835231530.75","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AETI","American Electric Technologies, Inc.","1.8501","15270727.2501","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AREX","Approach Resources Inc.","1.2","49011345.6","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"BLDP","Ballard Power Systems, Inc.","1.39","218003689.93","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","4.78","158688060.42","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","6.6001","199049901.2619","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkepp",
"BBEP","Breitburn Energy Partners LP","0.555","118586914.38","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbep",
"BBEPP","Breitburn Energy Partners LP","7.03","56240000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbepp",
"BWEN","Broadwind Energy, Inc.","3.03","45488750.67","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/bwen",
"CLMT","Calumet Specialty Products Partners, L.P.","11.13","844593372","n/a","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"CPST","Capstone Turbine Corporation","1.47","30753687.72","n/a","2000","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CRZO","Carrizo Oil & Gas, Inc.","30.54","1781632747.2","n/a","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"CREG","China Recycling Energy Corporation","0.306","25423714.71","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CLNE","Clean Energy Fuels Corp.","2.87","279425613.67","n/a","2007","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/clne",
"CCLP","CSI Compressco LP","5.51","182879423.58","n/a","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cclp",
"DWSN","Dawson Geophysical Company","4.38","94736377.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"FANG","Diamondback Energy, Inc.","76.77","5481150837.57","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DMLP","Dorchester Minerals, L.P.","10.84","332521672.04","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"ESES","Eco-Stim Energy Solutions, Inc.","2.6","35297961.4","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EFOI","Energy Focus, Inc.","7.3","85037539.4","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"ERII","Energy Recovery, Inc.","10.34","537174725.56","n/a","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii",
"EXXI","Energy XXI Ltd.","0.6","57275401.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ENPH","Enphase Energy, Inc.","2.4","111272644.8","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"EVEP","EV Energy Partners, L.P.","1.86","91242698.04","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"QCLN","First Trust NASDAQ Clean Edge Green Energy Index Fund","14.87","70632529.74","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qcln",
"FES","Forbes Energy Services Ltd","0.4778","10614257.719","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fes",
"FCEL","FuelCell Energy, Inc.","6.57","190408356.45","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/fcel",
"GLRI","Glori Energy Inc","0.193","6302598.157","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/glri",
"GPOR","Gulfport Energy Corporation","27.4","2968098150","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gpor",
"HNRG","Hallador Energy Company","4.53","132507030","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg",
"HERO","Hercules Offshore, Inc.","2.35","46973910.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hero",
"HOLI","Hollysys Automation Technologies, Ltd.","20.8","1227170859.2","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/holi",
"CETC","Hongli Clean Energy Technologies Corp.","0.3701","8867676.3117","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cetc",
"IEP","Icahn Enterprises L.P.","61.94","8143936794.46","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/iep",
"IPWR","Ideal Power Inc.","4.41","42149664.27","n/a","2013","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ipwr",
"ICLN","iShares S&P Global Clean Energy Index Fund","9.2785","71444450","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/icln",
"ISRL","Isramco, Inc.","80.72","219372017.52","n/a","1983","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/isrl",
"KLRE","KLR Energy Acquisition Corp.","9.95","0","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/klre",
"KLREU","KLR Energy Acquisition Corp.","10.05","0","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/klreu",
"KLREW","KLR Energy Acquisition Corp.","0.19","0","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/klrew",
"LGCY","Legacy Reserves LP","0.9","62550367.2","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcy",
"LGCYO","Legacy Reserves LP","2.34","16380000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcyo",
"LGCYP","Legacy Reserves LP","2.2701","4540200","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcyp",
"LLEX","Lilis Energy, Inc.","0.1701","4684973.4666","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/llex",
"LIME","Lime Energy Co.","2.82","27106014.84","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/lime",
"LNCO","Linn Co, LLC","0.3156","40568541.3144","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lnco",
"LINE","Linn Energy, LLC","0.335","119005946.385","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/line",
"MPET","Magellan Petroleum Corporation","0.995","5733820.83","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mpet",
"MARPS","Marine Petroleum Trust","5.4437","10887400","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/marps",
"MMLP","Martin Midstream Partners L.P.","20.2","716184172.4","n/a","2002","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/mmlp",
"MEMP","Memorial Production Partners LP","2.03","168551143.6","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/memp",
"MRD","Memorial Resource Development Corp.","10.16","2085935518.24","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mrd",
"MGEE","MGE Energy Inc.","51.6","1788887892","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/mgee",
"MCEP","Mid-Con Energy Partners, LP","2.13","63445692.3","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcep",
"NFEC","NF Energy Saving Corporation","0.731","4790454.259","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/nfec",
"ORIG","Ocean Rig UDW Inc.","0.787","109130444.208","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/orig",
"OESX","Orion Energy Systems, Inc.","1.42","39411358.76","n/a","2015","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/oesx",
"PEGI","Pattern Energy Group Inc.","18.51","1382871771.42","n/a","2013","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pegi",
"PTEN","Patterson-UTI Energy, Inc.","16.56","2437297107.12","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pten",
"PDCE","PDC Energy, Inc.","59.63","2754452275.33","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pdce",
"PLUG","Plug Power, Inc.","2.04","367422437.52","n/a","1999","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/plug",
"PSIX","Power Solutions International, Inc.","13.04","140217894.24","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/psix",
"PSCE","PowerShares S&P SmallCap Energy Portfolio","14.61","27759000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psce",
"PNRG","PrimeEnergy Corporation","33.3937","77046478.9392","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pnrg",
"PFIE","Profire Energy, Inc.","0.98","52190169.5","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/pfie",
"RCON","Recon Technology, Ltd.","1.3","7545206.5","n/a","2009","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/rcon",
"REGI","Renewable Energy Group, Inc.","9.48","415581528.72","n/a","2012","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/regi",
"REXX","Rex Energy Corporation","0.775","44137951.9","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rexx",
"SAEX","SAExploration Holdings, Inc.","0.6813","11889606.7989","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SEV","Sevcon, Inc.","10.15","42996536.8","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sev",
"SPKE","Spark Energy, Inc.","18.1401","251578208.0823","n/a","2014","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/spke",
"SPI","SPI Energy Co., Ltd.","5.53","32642898.75","5902875","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/spi",
"SYMX","Synthesis Energy Systems, Inc.","1.12","97322784.16","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/symx",
"TESO","Tesco Corporation","8.33","327116775.93","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/teso",
"TRCH","Torchlight Energy Resources, Inc.","0.75","23430204.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/trch",
"TGA","Transglobe Energy Corp","1.69","122027073.61","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tga",
"USEG","U.S. Energy Corp.","0.379","10745037.338","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/useg",
"VNR","Vanguard Natural Resources LLC","1.4","182673790.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnr",
"VNRAP","Vanguard Natural Resources LLC","4.08","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrap",
"VNRBP","Vanguard Natural Resources LLC","2.715","19005000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrbp",
"VNRCP","Vanguard Natural Resources LLC","2.64","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrcp",
"VTNR","Vertex Energy, Inc","1.91","53889267.16","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/vtnr",
"VNOM","Viper Energy Partners LP","16.37","1305114718.22","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnom",
"WRES","Warren Resources, Inc.","0.1613","13750681.1204","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wres",
"WLB","Westmoreland Coal Company","7.1","129982185","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/wlb",
"WPRT","Westport Innovations Inc","2.13","137031967.41","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wprt",
"WWD","Woodward, Inc.","52.38","3243147246.9","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wwd",
"ZN","Zion Oil & Gas Inc","1.78","68749762.36","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/znwaa",
"AAV","Advantage Oil & Gas Ltd","5.19","957041901.03","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","7.32","353346303.96","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"LNT","Alliant Energy Corporation","75.03","8513316389.97","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"ALJ","Alon USA Energy, Inc.","10.11","718586528.88","n/a","2005","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/alj",
"ALDW","Alon USA Partners, LP","12.39","774499383.21","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AEUA","Anadarko Petroleum Corporation","32.4","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","45.81","23291574419.07","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"AR","Antero Resources Corporation","24.77","6862809292.72","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","47.5","17969144740","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"ARCX","Arc Logistic Partners LP","9.63","185430378.33","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/arcx",
"AT","Atlantic Power Corporation","2.49","303552120.18","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"ARP","Atlas Resource Partners, L.P.","0.72","73743189.84","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arp",
"ATO","Atmos Energy Corporation","74.56","7613090165.76","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
"ATW","Atwood Oceanics, Inc.","8.47","548594522.63","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/atw",
"BHI","Baker Hughes Incorporated","42.95","18805824962.05","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bhi",
"BAS","Basic Energy Services, Inc.","2.52","106332420.6","n/a","2005","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","3.85","811152095.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","0.9901","190063467.291","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BBL","BHP Billiton plc","22.48","59810128279.6","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BBG","Bill Barrett Corporation","6.08","303116557.76","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbg",
"BSM","Black Stone Minerals, L.P.","13.87","2662599294.62","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bsm",
"BGR","BlackRock Energy and Resources Trust","12.78","380412253.26","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/bgr",
"BCEI","Bonanza Creek Energy, Inc.","1.48","73616878.32","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
"BP","BP p.l.c.","29.57","99102726253.96","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","13.77","294678000","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bpt",
"BGG","Briggs & Stratton Corporation","23.69","1022183653.42","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bgg",
"BC","Brunswick Corporation","48.27","4394016410.55","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bc",
"BPL","Buckeye Partners L.P.","65.74","8527990151.48","n/a","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"BWXT","BWX Technologies, Inc.","33.73","3534595606.61","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"CJES","C&J Energy Services, Ltd.","1.44","173098380.96","n/a","2015","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"COG","Cabot Oil & Gas Corporation","22.51","9320495147.02","n/a","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CRC","California Resources Corporation","1.04","403709176","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crc",
"CPE","Callon Petroleum Company","8.82","713043533.16","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"CNQ","Canadian Natural Resources Limited","25.8","28243371894.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cnq",
"CVE","Cenovus Energy Inc","12.77","10639892602.93","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cve",
"CNP","CenterPoint Energy, Inc.","21.2","9121761078.8","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cnp",
"CGG","CGG","0.83","296967423.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"CHK","Chesapeake Energy Corporation","3.83","2546922094.62","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","2.63","122952500","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","94.26","177506312366.7","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"MY","China Ming Yang Wind Power Group Limited","2.39","298930060.21","n/a","2010","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/my",
"SNP","China Petroleum & Chemical Corporation","65.35","77296238524.6","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
