Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AXU,Alexco Resource Corp,0.96,74295382.08,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
BAA,BANRO CORPORATION,0.2556,77229711.76,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BCV,Bancroft Fund Limited,17.97,91773185.34,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BDL,"Flanigan&#39;s Enterprises, Inc.",19,35314293,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
BDR,"Blonder Tongue Laboratories, Inc.",0.38,2570599.68,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BFY,BlackRock New York Municipal Income Trust II,15.75,78732848.25,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BGI,Birks Group Inc.,0.45,8082396.45,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BGSF,BG Staffing Inc,13.32,98407560.6,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BHB,"Bar Harbor Bankshares, Inc.",33.18,199402609.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BHV,BlackRock Virginia Municipal Bond Trust,18.45,29402805.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BKJ,"Bancorp of New Jersey, Inc",13.12,81871961.92,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BLE,BlackRock Municipal Income Trust II,15.92,373649102.3,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,16.23,37735366.74,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BPMX,BioPharmX Corporation,1.06,22354447.06,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BRG,"Bluerock Residential Growth REIT, Inc.",10.7,209254143.4,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRN,"Barnwell Industries, Inc.",1.6935,14017370.46,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BTG,B2Gold Corp,1.7,1576118341,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BTI,British American Tobacco p.l.c.,116.32,1.08424E+11,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
BTN,"Ballantyne Strong, Inc",4.65,66065553.9,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BTX,"BioTime, Inc.",2.92,277090888.8,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BVX,Bovie Medical Corporation,1.63,44093410.36,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
